Horizon,Model,Count_lt_50,MAE_lt_50,RMSE_lt_50,Count_lt_100,MAE_lt_100,RMSE_lt_100
1,persistence,164,12.036585365853659,22.323289817871444,55,22.363636363636363,33.13937509697764
1,ar24,164,11.66353036448903,21.843755653028136,55,21.74057386945322,32.57232104386385
1,chronos2,164,13.810543130083781,24.761637035327738,55,24.792428172718395,37.30176015976188
1,timesfm3,164,11.579570979606814,21.319695340901045,55,21.353719399192116,31.674968754276097
3,persistence,159,25.440251572327043,47.70526651041988,57,51.14035087719298,77.07378556326809
3,ar24,159,25.69150503392356,48.98555446747505,57,51.17704663607152,79.31431264583908
3,chronos2,159,27.219174798929465,49.698248381188456,57,53.67410582826849,79.90614189577086
3,timesfm3,159,23.97466930653314,45.552295088535885,57,46.681756839417574,73.39947385292197
6,persistence,162,44.25308641975309,76.98304286587332,60,88.93333333333334,122.7496096395694
6,ar24,162,42.567704305936246,77.68192884522239,60,84.64447328178504,123.80828718970595
6,chronos2,162,44.88158353169759,78.39063530242552,60,88.63894979159038,124.73531995233152
6,timesfm3,162,39.49358683015093,72.81972328942584,60,78.2589035709699,116.11273847581252
12,persistence,159,72.74842767295597,117.14021593235708,53,155.9811320754717,195.08532240757611
12,ar24,159,60.931555010098535,109.76680368236586,53,130.67557156580082,183.79468350327184
12,chronos2,159,67.53664803354995,114.1448486273245,53,145.58130593569774,190.73000477298245
12,timesfm3,159,59.67353358958502,107.19304008921583,53,126.22879420586352,179.1550807569256
24,persistence,159,112.54088050314465,156.99280919317542,53,237.1320754716981,256.0976376306505
24,ar24,159,83.52055730613942,132.77706592329145,53,175.51594741927872,221.7899360917693
24,chronos2,159,100.24833873382904,144.1628977238269,53,216.59130988930755,239.4645929475339
24,timesfm3,159,88.09662379408782,134.87508535090078,53,191.19617643446293,224.86552865043552
