Horizon,Model,MAE,RMSE,Correlation
1,persistence,4.030359355638166,8.66272191227261,0.9820749698762548
1,ar24,3.7830761649902556,8.490075172851329,0.9829175353057119
1,chronos2,4.028370776879595,9.248892124140221,0.9796429437953169
1,timesfm3,3.791576995725525,8.287583617354079,0.9835718898588655
3,persistence,7.8314745972738535,17.08804374869672,0.9302255600277092
3,ar24,7.620624164982567,17.242904646282227,0.9287735293508977
3,chronos2,7.733741281939557,17.437565962988177,0.9258999222164724
3,timesfm3,7.377279802030495,16.253255005849436,0.9356593212432968
6,persistence,11.349442379182156,26.336282049076807,0.8350055795329133
6,ar24,10.786367418565673,26.30345295289872,0.8245525255627504
6,chronos2,11.011459701123291,26.53435587516023,0.8235236518495918
6,timesfm3,10.346181585590783,24.82754059806719,0.8437522905835504
12,persistence,16.27633209417596,39.0144065152515,0.6346583185386421
12,ar24,14.033023041265624,36.190698710044664,0.6135669127750865
12,chronos2,14.652166116341045,37.562706559129786,0.6124247499302633
12,timesfm3,13.62327530525874,35.37018383525391,0.6463033342637302
24,persistence,22.35749690210657,51.88043278608874,0.35378015302531274
24,ar24,17.54332749014636,43.56802652015791,0.34033271886512473
24,chronos2,19.074601218307475,47.04923792607065,0.32810143452589646
24,timesfm3,17.62850947938444,44.136125117059606,0.3644878623624458
